Year,DOY,Mon,Day,RAIN,Tmax,Tmin,RH,WIND,SRAD,SRAD00,SRAD03,SRAD06,SRAD09,SRAD12,SRAD15,SRAD18,SRAD20
2018,1,1,1,0.00,24.45,12.70,81.59,1.17,8.16,0.0000,0.0000,0.0587,1.8199,3.8158,2.3482,0.1174,0.0000
2018,2,1,2,0.00,22.95,13.68,79.67,1.31,12.97,0.0000,0.0000,0.0934,2.8926,6.0651,3.7323,0.1866,0.0000
2018,3,1,3,0.00,23.47,10.08,71.40,1.75,14.67,0.0000,0.0000,0.1056,3.2717,6.8600,4.2215,0.2111,0.0000
2018,4,1,4,0.00,20.97,8.39,71.13,1.55,14.41,0.0000,0.0000,0.1037,3.2138,6.7385,4.1467,0.2073,0.0000
2018,5,1,5,0.00,20.96,7.02,72.09,1.60,14.62,0.0000,0.0000,0.1052,3.2606,6.8367,4.2071,0.2104,0.0000
2018,6,1,6,0.00,22.27,6.98,65.60,1.54,14.97,0.0000,0.0000,0.1078,3.3387,7.0003,4.3079,0.2154,0.0000
2018,7,1,7,0.00,21.61,7.51,60.92,1.55,15.21,0.0000,0.0000,0.1095,3.3922,7.1126,4.3769,0.2188,0.0000
2018,8,1,8,0.00,20.76,8.03,61.99,1.36,14.81,0.0000,0.0000,0.1066,3.3030,6.9255,4.2618,0.2131,0.0000
2018,9,1,9,0.00,20.39,6.35,64.89,1.48,15.40,0.0000,0.0000,0.1108,3.4346,7.2014,4.4316,0.2216,0.0000
2018,10,1,10,0.00,21.08,5.76,64.34,1.40,15.48,0.0000,0.0000,0.1114,3.4524,7.2388,4.4546,0.2227,0.0000
2018,11,1,11,0.00,20.20,7.48,66.97,1.27,14.89,0.0000,0.0000,0.1072,3.3208,6.9629,4.2848,0.2142,0.0000
2018,12,1,12,0.00,21.60,8.52,69.32,1.05,14.90,0.0000,0.0000,0.1072,3.3230,6.9676,4.2877,0.2144,0.0000
2018,13,1,13,0.00,21.17,9.18,71.37,1.00,13.08,0.0000,0.0000,0.0941,2.9171,6.1165,3.7640,0.1882,0.0000
2018,14,1,14,0.00,21.69,9.30,77.71,1.39,14.25,0.0000,0.0000,0.1026,3.1781,6.6636,4.1007,0.2050,0.0000
2018,15,1,15,0.00,22.60,7.91,64.35,1.41,14.49,0.0000,0.0000,0.1043,3.2316,6.7759,4.1697,0.2085,0.0000
2018,16,1,16,0.00,23.28,8.96,64.50,1.47,15.36,0.0000,0.0000,0.1106,3.4256,7.1827,4.4201,0.2210,0.0000
2018,17,1,17,0.00,23.47,9.44,64.49,1.48,15.53,0.0000,0.0000,0.1118,3.4635,7.2622,4.4690,0.2235,0.0000
2018,18,1,18,0.00,24.24,8.19,62.97,1.39,15.67,0.0000,0.0000,0.1128,3.4948,7.3277,4.5093,0.2255,0.0000
2018,19,1,19,0.00,23.74,7.68,59.10,1.35,16.00,0.0000,0.0000,0.1152,3.5684,7.4820,4.6043,0.2302,0.0000
2018,20,1,20,0.00,24.08,9.18,57.55,1.22,15.70,0.0000,0.0000,0.1130,3.5015,7.3417,4.5179,0.2259,0.0000
2018,21,1,21,0.00,24.50,11.57,61.06,1.16,16.15,0.0000,0.0000,0.1162,3.6018,7.5521,4.6474,0.2324,0.0000
2018,22,1,22,0.00,24.27,8.81,58.35,1.35,16.33,0.0000,0.0000,0.1175,3.6420,7.6363,4.6992,0.2350,0.0000
2018,23,1,23,0.00,24.79,8.90,55.73,1.17,16.36,0.0000,0.0000,0.1178,3.6487,7.6503,4.7079,0.2354,0.0000
2018,24,1,24,0.00,25.83,12.65,60.47,0.74,15.95,0.0000,0.0000,0.1148,3.5572,7.4586,4.5899,0.2295,0.0000
2018,25,1,25,0.00,26.09,11.95,67.30,1.52,15.84,0.0000,0.0000,0.1140,3.5327,7.4072,4.5582,0.2279,0.0000
2018,26,1,26,0.00,25.45,10.58,61.49,1.40,16.51,0.0000,0.0000,0.1188,3.6821,7.7205,4.7510,0.2376,0.0000
2018,27,1,27,0.00,24.31,10.26,58.29,1.49,16.02,0.0000,0.0000,0.1153,3.5728,7.4913,4.6100,0.2305,0.0000
2018,28,1,28,0.00,24.18,10.88,52.12,1.22,16.98,0.0000,0.0000,0.1222,3.7869,7.9403,4.8863,0.2443,0.0000
2018,29,1,29,0.00,24.48,10.76,53.07,1.35,17.00,0.0000,0.0000,0.1224,3.7914,7.9496,4.8920,0.2446,0.0000
2018,30,1,30,0.00,25.38,9.96,52.79,1.29,16.90,0.0000,0.0000,0.1216,3.7691,7.9029,4.8633,0.2432,0.0000
2018,31,1,31,0.00,26.54,12.07,57.29,1.00,16.51,0.0000,0.0000,0.1188,3.6821,7.7205,4.7510,0.2376,0.0000
