,time,day,year,air_temp,water_temp,phi_sn,phi_at,phi_ws,phi_e,phi_c,phi_dz,heat
1,hour0,1,2018,17.4,-99,-99,-99,-99,-99,-99,-99,-99
2,hour3,1,2018,13.77,-99,-99,-99,-99,-99,-99,-99,-99
3,hour6,1,2018,11.44,11.4421662,0,0,0,0,0,0,0
1,hour9,1,2018,15.5505822,2963.423015,3.129270032,3259.665264,3951.437343,-14247.49661,-20.72732608,159.2774276,13697.40391
1,hour12,1,2018,21.5993293,11580.74988,6.561644246,3702.855496,66100534.28,2131829510,10113.39307,71590052846,69392150322
1,hour15,1,2018,24.4507735,46425.97614,4.038582579,3928.646628,11893463777,8008631479,39737.66571,1.6697E+13,1.67465E+13
1,hour18,1,2018,22.4345406,186151.8567,0.202069455,3767.835938,2.86483E+12,11269914094,159564.656,4.31259E+15,4.32646E+15
1,hour21,1,2018,19.5831332,746410.4051,0,3549.849311,7.27579E+14,12272448543,640044.412,1.11472E+18,1.11832E+18
1,hour0,2,2018,17.1959035,2992877.24,0,3375.56546,1.87245E+17,12536076553,2566593.776,2.88E+20,2.89E+20
1,hour3,2,2018,14.7155112,12000527.8,0,3202.127889,4.83479E+19,13515616929,11036968.29,7.45E+22,7.47E+22
1,hour6,2,2018,13.6793898,48118474.17,0.06973145,3131.922355,1.25E+22,13533495746,44255078.47,1.93E+25,1.93E+25
1,hour9,2,2018,15.9289274,192940483.1,2.159737958,3286.017204,3.23E+24,13537958326,177449598.5,4.98E+27,4.99E+27
1,hour12,2,2018,20.7010028,773632808.5,4.528670265,3634.014683,8.35E+26,13539071502,711519232.3,1.29E+30,1.29E+30
1,hour15,2,2018,22.9506102,3102032886,2.787321006,3808.461974,2.16E+29,13539349137,2852976505,3.33E+32,3.34E+32
1,hour18,2,2018,21.3599312,12438210897,0.1394629,3684.404041,5.58E+31,13539418379,11439570609,8.60E+34,8.62E+34
1,hour21,2,2018,19.1103527,49873452683,0,3514.74776,1.44E+34,13539435648,45869208291,2.22E+37,2.23E+37
1,hour0,3,2018,17.5669035,1.99977E+11,0,3402.1707,3.73E+36,13539439954,1.83922E+11,5.74E+39,5.76E+39
1,hour3,3,2018,15.2701097,8.01849E+11,0,3240.244622,9.63E+38,13944649754,7.59541E+11,1.48E+42,1.49E+42
1,hour6,3,2018,10.0791186,3.21517E+12,0.080165959,2897.908089,2.49E+41,13944650030,3.04553E+12,3.84E+44,3.85E+44
1,hour9,3,2018,13.3284507,1.28919E+13,2.48291789,3108.437635,6.44E+43,13944650099,1.22116E+13,9.92E+46,9.95E+46
1,hour12,3,2018,20.2214485,5.16924E+13,5.206333656,3597.706284,1.66E+46,13944650116,4.8965E+13,2.56E+49,2.57E+49
1,hour15,3,2018,23.4708814,2.07271E+14,3.204411519,3849.789412,4.30E+48,13944650120,1.96335E+14,6.63E+51,6.65E+51
1,hour18,3,2018,21.173234,8.31094E+14,0.160331918,3670.067963,1.11E+51,13944650121,7.87243E+14,1.71E+54,1.72E+54
1,hour21,3,2018,17.9238428,3.33243E+15,0,3427.933123,2.87E+53,13944650121,3.1566E+15,4.43E+56,4.44E+56
1,hour0,4,2018,17.5196762,1.33621E+16,0,3398.774203,7.43E+55,13944650121,1.2657E+16,1.14E+59,1.15E+59
1,hour3,4,2018,12.3768251,5.35778E+16,0,3045.496002,1.92E+58,12656615523,4.60631E+16,2.96E+61,2.97E+61
1,hour6,4,2018,8.3891719,2.14831E+17,0.103409605,2793.222377,4.96E+60,12656615523,1.84699E+17,7.65E+63,7.67E+63
1,hour9,4,2018,11.4419425,8.61406E+17,3.202825253,2984.704479,1.28E+63,12656615523,7.40587E+17,1.98E+66,1.98E+66
1,hour12,4,2018,17.9179628,3.45397E+18,6.715879319,3427.507409,3.32E+65,12656615523,2.96953E+18,5.11E+68,5.13E+68
1,hour15,4,2018,20.9708281,1.38494E+19,4.133511694,3654.578446,8.57E+67,12656615523,1.19E+19,1.32E+71,1.33E+71
1,hour18,4,2018,18.812172,5.55319E+19,0.206819209,3492.759178,2.22E+70,12656615523,4.77431E+19,3.42E+73,3.43E+73
1,hour21,4,2018,15.759346,2.23E+20,0,3274.183799,5.73E+72,12656615523,1.91E+20,8.83E+75,8.86E+75
1,hour0,5,2018,15.626199,8.93E+20,0,3264.917815,1.48E+75,12656615523,7.68E+20,2.28E+78,2.29E+78
1,hour3,5,2018,10.5478835,3.58E+21,0,2927.521341,3.83E+77,13302957925,3.24E+21,5.90E+80,5.92E+80
1,hour6,5,2018,7.0190824,1.44E+22,0.092615256,2710.692348,9.89E+79,13302957925,1.30E+22,1.52E+83,1.53E+83
1,hour9,5,2018,10.4018822,5.76E+22,2.868500301,2918.270967,2.56E+82,13302957925,5.20E+22,3.94E+85,3.95E+85
1,hour12,5,2018,17.5780128,2.31E+23,6.014846371,3402.970072,6.61E+84,13302957925,2.09E+23,1.02E+88,1.02E+88
1,hour15,5,2018,20.9609176,9.25E+23,3.702037608,3653.821433,1.71E+87,13302957925,8.36E+23,2.63E+90,2.64E+90
1,hour18,5,2018,18.5688933,3.71E+24,0.185230513,3474.90464,4.42E+89,13302957925,3.35E+24,6.81E+92,6.83E+92
1,hour21,5,2018,15.186032,1.49E+25,0,3234.441775,1.14E+92,13302957925,1.34E+25,1.76E+95,1.77E+95
1,hour0,6,2018,13.6006933,5.97E+25,0,3126.643133,2.95E+94,13302957925,5.39E+25,4.55E+97,4.56E+97
1,hour3,6,2018,9.4111682,2.39E+26,0,2856.145342,7.63E+96,15054192283,2.45E+26,1.18E+100,1.18E+100
1,hour6,6,2018,6.9789935,9.59E+26,0.084915409,2708.308613,1.97E+99,15054192283,9.81E+26,3.04E+102,3.05E+102
1,hour9,6,2018,10.6893959,3.85E+27,2.630018926,2936.510726,5.10E+101,15054192283,3.93E+27,7.86E+104,7.88E+104
1,hour12,6,2018,18.560489,1.54E+28,5.514784081,3474.289206,1.32E+104,15054192283,1.58E+28,2.03E+107,2.04E+107
1,hour15,6,2018,22.2710065,6.18E+28,3.39425761,3755.038176,3.41E+106,15054192283,6.32E+28,5.25E+109,5.27E+109
1,hour18,6,2018,19.6473299,2.48E+29,0.169830819,3554.638145,8.80E+108,15054192283,2.54E+29,1.36E+112,1.36E+112
