,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
1,0,1,2017,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,3,1,2017,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"1",6,1,2017,1,-66.322041319966,1061.09605123893,1586.39007500588,20.8963729541841,24.9877544688656,52826.358006965,51.0518529981081,-663.564291039202,52162.7937159258,24.673877415736
"1",9,1,2017,1,2935.57547152195,1116.71998988059,1579.72006211729,24.3690056237794,24.673877415736,52162.7937159258,37.9173513456445,2410.28904231583,54573.0827582416,25.8139846095813
"1",12,1,2017,1,6326.81017405311,1242.83810848316,1604.0487843285,33.4488597296425,25.8139846095813,54573.0827582416,18.7947626034597,5913.35587587467,60486.4386341163,28.6111012439307
"1",15,1,2017,1,3829.19156723243,1306.30253102844,1664.92664469052,38.6691157690671,28.6111012439307,60486.4386341163,20.7163933225602,3411.18194447872,63897.620578595,30.2246475888448
"1",18,1,2017,1,-132.644082639932,1261.15393153269,1700.82338767302,34.910010396513,30.2246475888448,63897.620578595,36.7390013591708,-643.962550535938,63253.6580280591,29.9200424881522
"1",21,1,2017,1,0,1199.53953511527,1694.00278174029,30.1397000934685,29.9200424881522,63253.6580280591,46.8804033316786,-571.483350050166,62682.1746780089,29.649721266458
"1",0,2,2017,1,0,1157.51059533621,1687.96704693025,25.8832347184823,29.649721266458,62682.1746780089,51.3320151270286,-607.671701439549,62074.5029765694,29.3622823468329
"1",3,2,2017,1,0,1100.18252143348,1681.56681646684,22.2401571188069,29.3622823468329,62074.5029765694,61.0900343683713,-664.714486520539,61409.7884900489,29.047861231925
"1",6,2,2017,1,-70.4884767705539,1076.614191476,1674.58665183704,20.8371781935769,29.047861231925,61409.7884900489,64.3359642903016,-753.634079615479,60656.1544104334,28.6913796562253
"1",9,2,2017,1,3003.93202849954,1136.87557964782,1666.69905356042,24.5340023885672,28.6913796562253,60656.1544104334,50.841618007141,2398.73293419123,63054.8873446246,29.8260206168618
"1",12,2,2017,1,6476.92189715982,1274.10708783716,1691.90162772143,34.3249136209615,29.8260206168618,63054.8873446246,30.9491798605056,5993.85326379409,69048.7406084187,32.661213867518
"1",15,2,2017,1,3919.01708971716,1343.45477991582,1756.12613503175,40.0191129573694,32.661213867518,69048.7406084187,32.1968026155802,3434.12981902828,72482.870427447,34.2856149424658
"1",18,2,2017,1,-140.976953541108,1294.10169751909,1793.73708758423,35.9144911828643,34.2856149424658,72482.870427447,48.0776197894662,-724.604454578572,71758.2659728684,33.9428648669132
"1",21,2,2017,1,0,1226.90355227573,1785.75133551901,30.7382358447336,33.9428648669132,71758.2659728684,58.3424318990455,-647.928450987058,71110.3375218813,33.6363838287064
"1",0,3,2017,1,0,1181.17253476294,1778.63322607397,27.1308522796867,33.6363838287064,71110.3375218813,64.4667787559008,-689.058322346616,70421.2791995347,33.3104476706382
"1",3,3,2017,1,0,1118.94166823546,1771.0866372559,23.09598559519,33.3104476706382,70421.2791995347,74.6765202088416,-749.917474824471,69671.3617247102,32.9557241114188
"1",6,3,2017,1,-64.1812377935149,1081.21522674955,1762.90083418664,20.8360221077686,32.9557241114188,69671.3617247102,80.4174656667266,-847.120333005099,68824.2413917051,32.5550219679183
"1",9,3,2017,1,2708.07392223335,1139.46903175655,1753.68817005054,24.3843573098504,32.5550219679183,68824.2413917051,67.3150615710287,2002.15536505847,70826.3967567636,33.5020750784888
"1",12,3,2017,1,5839.68350707044,1271.78730584883,1775.52058235399,33.7052258556047,33.5020750784888,70826.3967567636,47.7144213165702,5254.53058339311,76080.9273401567,35.98755628561
"1",15,3,2017,1,3533.19202808121,1338.48683683508,1833.78813255205,39.0862987144773,35.98755628561,76080.9273401567,47.7719274865959,2951.03250616318,79031.9598463199,37.3834442187499
"1",18,3,2017,1,-128.36247558703,1291.02921922144,1867.13448668846,35.2099522080924,37.3834442187499,79031.9598463199,62.1097438626827,-801.787439124829,78230.1724071951,37.004185295346
"1",21,3,2017,1,0,1226.32465025122,1858.02975139901,30.3019265525708,37.004185295346,78230.1724071951,71.6559290207816,-733.662956721146,77496.509450474,36.6571503961573
"1",0,4,2017,1,0,1182.23007575593,1849.72781910285,27.0469131198322,36.6571503961573,77496.509450474,77.5992998822234,-772.143956348974,76724.365494125,36.2919133379198
"1",3,4,2017,1,0,1122.1426610848,1841.02052633372,23.1606958408373,36.2919133379198,76724.365494125,87.1543028400905,-829.192863929851,75895.1726301951,35.8996911883542
"1",6,4,2017,1,-70.4312607933398,1051.37813200885,1831.70417622984,19.0367409878232,35.8996911883542,75895.1726301951,99.2427894371054,-969.03683543926,74926.1357947558,35.4413204918157
"1",9,4,2017,1,2958.8726639715,1111.77555483432,1820.86147363108,22.5261935682885,35.4413204918157,74926.1357947558,85.2829031672579,2141.97764843919,77068.113443195,36.4545118905099
"1",12,4,2017,1,6380.83076593649,1249.56580336431,1844.89308895685,31.8317550593511,36.4545118905099,77068.113443195,64.6707579745465,5689.00096731005,82757.114410505,39.1455048854375
